Ressource,Code Attributaire,Attributaire,Date d'effet,N° décision d'attribution
F0,FRTE,Orange,01/01/2017,2016-1702
F1,SFR0,Société française du radiotéléphone,26/03/2015,2015-0347
F2,COMP,Completel,26/03/2015,2015-0347
F3,FREE,Free,26/03/2015,2015-0347
F4,BOUY,Bouygues Telecom,26/03/2015,2015-0347
F5,COLT,Colt technology services,01/01/2018,2017-1522
F6,OVH,OVH,26/03/2015,2015-0347
F7,MCI,Verizon France,01/01/2018,2017-1484
F8,UPCF,SFR fibre SAS,26/03/2015,2015-0347
F9,LEGO,Société Legos-Local exchange-Global opération services,26/03/2015,2015-0347
FA,440H,440HZ,26/03/2015,2015-0347
FB,AFEC,Afritelec,03/05/2018,2018-0523
FC,ADIS,Adenis,26/03/2015,2015-0347
FD,ADON,Add-on consulting,26/03/2015,2015-0347
FE,TEIR,Telnyx Ireland limited,19/01/2021,2023-0137
FF,AICT,AIC Telecoms,26/03/2015,2015-0347
FG,WARE,Waycom retail,11/05/2016,2016-0647
FH,VXDS,Voxidis,08/12/2016,2016-1633
FI,ALNI,Alnilam,26/03/2015,2015-0347
FJ,ALPL,Alphalink,26/03/2015,2015-0347
FK,AMNE,Régie municipale d'électricité et de télédistribution d'Amnéville,26/03/2015,2015-0347
FL,WRDL,Worldline France,01/07/2021,2021-1193
FM,CPOM,Capacom,21/04/2015,2015-0455
FN,EMOD,Auranext,28/07/2016,2016-0968
FO,AVIR,Novelcom,26/03/2015,2015-0347
FP,AVMI,AVM Informatique,12/05/2016,2016-0677
FQ,AXLY,Axialys,26/03/2015,2015-0347
FR,BJTP,BJT Partners,26/03/2015,2015-0347
FS,BRET,Bretagne Telecom,26/03/2015,2015-0347
FT,BTSI,BT France,26/03/2015,2015-0347
FU,BUDG,MINT,26/03/2015,2015-0347
FV,BUFR,Tellpe,26/03/2015,2015-0347
FW,BUYC,Digicel Antilles Françaises Guyane,26/03/2015,2015-0347
FX,CELY,Celya,26/03/2015,2015-0347
FY,GRPH,Phibee telecom,20/06/2019,2021-1227
FZ,CMTT,ComMeeTT,29/08/2022,2022-1611
G0,CLIM,Compatel Limited,26/03/2015,2015-0347
G1,CMRP,CMRP,26/03/2015,2015-0347
G2,COMC,Comcable,26/03/2015,2015-0347
G3,DVSC,DVS Connect,20/09/2022,2022-1859
G4,DAUF,Dauphin telecom,26/03/2015,2015-0347
G5,DIAB,Diabolocom SAS,26/03/2015,2015-0347
G6,R3LO,Apidaze,22/09/2016,2016-1220
G7,DGLP,PS Mobile Access,01/10/2020,2022-1923
G8,EVMI,Even media interactive,01/09/2022,2022-1739
GA,ETOI,Etoile Dièse,26/03/2015,2015-0347
GB,EYES,Eyes telecom,26/03/2015,2015-0347
GC,DYCL,Dynamik cloud & télécom,27/10/2022,2022-2130
GD,FING,Adista Fingerprint,26/03/2015,2015-0347
GE,ANEL,Annatel telecom,28/12/2018,2020-1407
GF,TYLI,Ty-line,24/12/2015,2015-1626
GG,GLOA,Globaltel,26/03/2015,2015-0347
GH,GSCO,GS Communication,26/03/2015,2015-0347
GI,PARE,Parabole Réunion,19/11/2015,2015-1409
GJ,GUYA,Guyacom,26/03/2015,2015-0347
GK,MIXW,Color telecom,29/05/2018,2018-0617
GL,HALY,Halys,26/03/2015,2015-0347
GM,HUBT,Hub One,26/03/2015,2015-0347
GN,CDPI,Codepi,16/05/2022,2022-1066
GO,IDOM,Idom technologies,26/03/2015,2015-0347
GP,INUP,Interactiv-group,28/07/2016,2016-0937
GQ,OXTE,Oxone technologies,13/04/2017,2017-0452
GR,INCL,Nomotech,26/03/2015,2015-0347
GS,INIT,Foliateam operateur,26/03/2015,2015-0347
GT,IOVO,Iovox Ltd,26/03/2015,2015-0347
GU,IPAR,Azalée,26/03/2015,2015-0347
GV,IPDI,IP Directions,26/03/2015,2015-0347
GW,IPXT,Ipxtel,26/03/2015,2015-0347
GX,SVCM,Unyc,12/05/2015,2015-0568
GY,GHVO,Ghvoip,24/07/2019,2021-1364
GZ,JAG,Free Pro,26/03/2015,2015-0347
H0,INGR,Integraphone,18/08/2016,2016-1078
H1,KWAO,K-net,26/03/2015,2015-0347
H2,LANE,Lanestel,26/03/2015,2015-0347
H3,LEON,Always on,26/03/2015,2015-0347
H5,LINK,Linkeo.com,26/03/2015,2015-0347
H6,LLEI,Lleida networks serveis telematics S.L,26/03/2015,2015-0347
H7,YOOT,Yooth information technology,06/07/2017,2017-0849
H8,NTLS,Netalis ,02/03/2017,2017-0265
H9,REPT,Réseau concept,28/10/2019,2021-2231
HA,HEXA,Hexanet,19/04/2018,2018-0456
HB,MDIA,Holding 123 media corp,26/03/2015,2015-0347
HC,AIEX,Altitude infrastructure exploitation,23/06/2015,2015-0732
HD,MIAS,Canal+ Telecom,26/03/2015,2015-0347
HE,NXFR,Nxo France,06/07/2018,2018-0802
HF,MWSP,Lasotel,26/03/2015,2015-0347
HG,CORI,Coriolis telecom SAS,03/09/2018,2018-0862
HI,IPEV,Ipeva,15/07/2022,2022-1483
HJ,NORN,Nordnet,26/03/2015,2015-0347
HK,NOTL,Neotel,26/03/2015,2015-0347
HM,GETG,Get & go telecom,18/05/2017,2017-0601
HN,NWTI,Newtech interactive,26/03/2015,2015-0347
HO,NXTO,Fiducial cloud,26/03/2015,2015-0347
HP,PRSO,Prosoluce,20/06/2019,2021-0919
HQ,VGSF,Viatel global services France,11/01/2016,2016-0004
HR,OPEN,Destiny France Partenaires,26/03/2015,2015-0347
HS,OPST,OPS Telecom,26/03/2015,2015-0347
HT,YLLA,xFibre,16/12/2021,2021-2708
HU,OPWA,Opwan,26/03/2015,2015-0347
HV,TIMA,Timaca,26/10/2018,2022-1823
HW,COCR,Comunik CRM,14/06/2021,2021-1175
HX,OUTR,Outremer Telecom,26/03/2015,2015-0347
HY,PAOP,Paritel operateur,26/03/2015,2015-0347
HZ,PHON,Keyyo,26/03/2015,2015-0347
I0,HERA,Netiwan,18/01/2018,2018-0019
I1,STER,Setera communications OY,05/09/2022,2022-1777
I2,CDXT,CDX Telecom,25/01/2022,2022-0140
I3,BEET,Bee Technology,14/04/2015,2015-0426
I4,ODIG,Odigo,01/02/2019,2021-0070
I5,R188,Wayscom,26/03/2015,2015-0347
I6,REMM,Remmedia,26/03/2015,2015-0347
I7,RMII,Adista,26/03/2015,2015-0347
I8,SENT,Senso telecom,26/03/2015,2015-0347
I9,SEWA,Sewan,26/03/2015,2015-0347
IA,SPMT,SAS SPM Telecom,26/03/2015,2015-0347
IB,SRR,Société réunionnaise du radiotéléphone,26/03/2015,2015-0347
IC,CYDS,Cyd-solutions,22/03/2022,2022-0618
ID,STMA,Saint Martin cable,26/03/2015,2015-0347
IE,SYSE,Sysexpert,26/03/2015,2015-0347
